total_fat,vitamin_a,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,protein,carbohydrate,fiber,sugars,calories
29.0,15000.0,3.2,0.06,2.0,0.0,0.0,11.2,6.3,0.0,0.0,327
0.3,22.0,0.0,0.037,0.6,0.0,0.05,0.39,42.47,1.5,35.3,173
9.9,95.0,0.01,0.112,14.6,0.0,0.54,0.95,14.89,1.9,12.19,153
22.0,0.0,3.06,0.18,0.0,48.0,0.19,12.6,1.9,0.0,1.5,261
14.0,29650.0,0.0,2.094,0.7,0.0,38.14,13.46,49.7,34.8,7.19,282
15.0,363.0,0.0,0.36,21.0,0.0,2.5,19.77,49.9,38.0,0.64,333
4.1,744.0,0.0,1.34,0.8,0.0,10.7,22.98,47.75,37.7,1.71,233
0.5,1218.0,0.0,0.015,1.0,0.0,0.58,0.37,35.06,1.1,29.13,130
3.5,68300.0,0.0,1.996,660.0,0.0,0.0,21.2,64.29,26.2,0.0,311
15.0,310.0,1.5,0.3,0.0,0.0,0.0,13.41,0.0,0.0,0.0,195
20.0,5.0,0.0,0.117,0.0,0.0,1.75,7.1,67.6,3.5,12.0,482
32.0,800.0,0.0,0.16,21.0,0.0,0.0,6.71,50.5,20.2,0.0,475
1.0,0.0,0.0,0.718,23.4,0.0,0.27,10.41,79.12,15.2,6.63,341
81.0,2499.0,0.17,0.003,0.0,0.0,2.32,0.85,0.06,0.0,0.06,717
0.2,0.0,0.0,0.006,0.0,0.0,0.03,1.79,24.01,1.0,0.03,108
1.6,0.0,0.0,0.396,0.0,0.0,0.57,10.5,74.52,10.1,0.8,345
0.0,0.0,0.0,0.0,73.0,0.0,0.0,1.28,6.73,0.0,0.0,27
17.0,44.0,0.08,0.083,0.2,9.0,1.18,8.36,41.72,2.5,3.69,350
22.0,0.0,0.14,0.502,0.0,0.0,1.32,17.67,21.18,1.0,0.0,351
7.1,1504.0,0.0,0.129,13.7,0.0,0.5,0.79,13.17,2.8,9.33,120
7.4,135.0,0.21,0.11,0.2,0.0,0.38,10.04,53.58,3.1,15.38,321
0.2,64.0,0.0,0.049,7.0,0.0,0.07,1.06,16.01,2.1,12.82,63
8.7,0.0,4.61,0.475,0.0,0.0,0.24,20.22,0.0,0.0,0.0,165
1.4,123.0,0.37,0.0,0.0,0.0,0.0,2.06,10.29,0.0,9.47,62
34.0,83.0,0.0,0.26,6.3,0.0,0.24,2.3,58.4,7.7,35.34,519
0.3,326.0,0.0,0.025,6.6,0.0,0.73,0.91,9.54,1.5,8.39,39
6.3,0.0,0.0,0.076,0.0,0.0,0.36,8.6,46.0,3.8,1.63,273
30.0,232.0,0.0,0.0,0.8,0.0,0.0,3.94,63.39,2.0,60.02,530
8.1,0.0,0.56,0.512,0.0,0.0,0.27,17.44,0.04,0.0,0.0,143
0.2,28.0,0.0,0.026,4.4,0.0,0.12,0.39,15.01,3.1,9.69,63
0.1,18.0,0.0,0.012,13.7,0.0,0.1,0.2,66.3,0.7,27.38,254
3.7,0.0,0.0,0.0,0.0,0.0,0.0,7.3,78.0,2.1,26.4,375
0.6,360.0,0.0,0.002,3.0,0.0,1.0,3.03,9.14,0.5,0.65,45
0.3,0.0,0.0,0.303,0.0,0.0,5.0,6.21,80.88,7.7,2.97,306
3.9,0.0,0.02,0.304,0.0,0.0,0.0,8.7,49.5,5.5,0.0,260
0.3,2917.0,0.0,0.192,43.3,0.0,0.0,2.46,4.02,0.0,0.0,23
1.2,22.0,0.0,0.26,0.0,0.0,0.02,9.91,77.72,15.6,0.8,352
29.0,0.0,0.98,0.19,1.0,0.0,0.0,14.1,1.63,0.0,0.0,326
14.0,19.0,0.0,0.105,0.7,0.0,25.24,14.29,55.83,53.2,2.76,325
